data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,18,Calabria,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,18,Calabria,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,18,Calabria,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,18,Calabria,0,0,0,1,1,1,1,0,0,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,14.29,0.0,0.0,0.0
2020-02-29T17:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,1,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02T18:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04T17:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05T17:00:00,18,Calabria,1,0,1,1,2,1,1,0,0,2,53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,50.0,14.29,0.0,0.0,100.0
2020-03-06T17:00:00,18,Calabria,2,0,2,2,4,2,2,0,0,4,99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,46.0,0.0,1.0,0.0,50.0,4.35,0.0,0.0,100.0
2020-03-07T18:00:00,18,Calabria,2,0,2,2,4,0,0,0,0,4,113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
2020-03-08T18:00:00,18,Calabria,5,0,5,4,9,5,5,0,0,9,113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,55.56,0.0,0.0,0.0,125.0
2020-03-09T18:00:00,18,Calabria,8,0,8,1,9,0,2,2,0,11,173,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,2.0,0.0,60.0,0.0,-3.0,0.0,88.89,3.33,0.0,0.0,0.0
2020-03-10T18:00:00,18,Calabria,8,2,10,1,11,2,2,2,0,13,360,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,2.0,0.0,0.0,187.0,0.0,0.0,20.0,90.91,1.07,0.0,0.0,22.22
2020-03-11T17:00:00,18,Calabria,10,2,12,5,17,6,6,2,0,19,405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,45.0,0.0,4.0,16.67,70.59,13.33,0.0,0.0,54.55
2020-03-12T17:00:00,18,Calabria,14,2,16,16,32,15,14,1,0,33,483,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0,4.0,-1.0,0.0,78.0,0.0,11.0,12.5,50.0,17.95,0.0,0.0,88.24
2020-03-13T17:00:00,18,Calabria,18,3,21,16,37,5,5,1,0,38,504,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,5.0,0.0,0.0,21.0,0.0,0.0,14.29,56.76,23.81,0.0,50.0,15.62
2020-03-14T17:00:00,18,Calabria,22,4,26,33,59,22,22,1,0,60,711,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,5.0,0.0,0.0,207.0,0.0,17.0,15.38,44.07,10.63,0.0,33.33,59.46
2020-03-15T17:00:00,18,Calabria,32,6,38,28,66,7,8,1,1,68,884,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,10.0,12.0,0.0,1.0,173.0,0.0,-5.0,15.79,57.58,4.62,0.0,50.0,11.86
2020-03-16T17:00:00,18,Calabria,36,7,43,44,87,21,21,1,1,89,1030,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,5.0,0.0,0.0,146.0,0.0,16.0,16.28,49.43,14.38,0.0,16.67,31.82
2020-03-17T17:00:00,18,Calabria,45,10,55,57,112,25,25,1,1,114,1293,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,9.0,12.0,0.0,0.0,263.0,0.0,13.0,18.18,49.11,9.51,0.0,42.86,28.74
2020-03-18T17:00:00,18,Calabria,45,11,56,70,126,14,15,2,1,129,1668,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,375.0,0.0,13.0,19.64,44.44,4.0,0.0,10.0,12.5
2020-03-19T17:00:00,18,Calabria,60,13,73,91,164,38,40,2,3,169,2342,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,15.0,17.0,0.0,2.0,674.0,0.0,21.0,17.81,44.51,5.93,0.0,18.18,30.16
2020-03-20T17:00:00,18,Calabria,71,16,87,114,201,37,38,2,4,207,2690,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,11.0,14.0,0.0,1.0,348.0,0.0,23.0,18.39,43.28,10.92,0.0,23.08,22.56
2020-03-21T17:00:00,18,Calabria,73,16,89,136,225,24,28,5,5,235,3050,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,2.0,3.0,1.0,360.0,0.0,22.0,17.98,39.56,7.78,0.0,0.0,11.94
2020-03-22T17:00:00,18,Calabria,77,17,94,166,260,35,38,5,8,273,3666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,5.0,0.0,3.0,616.0,0.0,30.0,18.09,36.15,6.17,0.0,6.25,15.56
2020-03-23T17:00:00,18,Calabria,82,20,102,178,280,20,19,5,7,292,4073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,5.0,8.0,0.0,-1.0,407.0,0.0,12.0,19.61,36.43,4.67,0.0,17.65,7.69
2020-03-24T17:00:00,18,Calabria,88,21,109,195,304,24,27,5,10,319,4486,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,6.0,7.0,0.0,3.0,413.0,0.0,17.0,19.27,35.86,6.54,0.0,5.0,8.57
2020-03-25T17:00:00,18,Calabria,93,23,116,217,333,29,32,7,11,351,5058,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,5.0,7.0,2.0,1.0,572.0,0.0,22.0,19.83,34.83,5.59,0.0,9.52,9.54
2020-03-26T17:00:00,18,Calabria,101,23,124,248,372,39,42,7,14,393,5933,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8.0,8.0,0.0,3.0,875.0,0.0,31.0,18.55,33.33,4.8,0.0,0.0,11.71
2020-03-27T17:00:00,18,Calabria,103,22,125,344,469,97,101,7,18,494,6901,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,2.0,1.0,0.0,4.0,968.0,0.0,96.0,17.6,26.65,10.43,0.0,-4.35,26.08
2020-03-28T17:00:00,18,Calabria,107,22,129,394,523,54,61,11,21,555,7760,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0,4.0,4.0,3.0,859.0,0.0,50.0,17.05,24.67,7.1,0.0,0.0,11.51
2020-03-29T17:00:00,18,Calabria,124,19,143,434,577,54,59,12,25,614,8485,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.0,17.0,14.0,1.0,4.0,725.0,0.0,40.0,13.29,24.78,8.14,0.0,-13.64,10.33
2020-03-30T17:00:00,18,Calabria,130,18,148,454,602,25,33,14,31,647,9013,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,6.0,5.0,2.0,6.0,528.0,0.0,20.0,12.16,24.58,6.25,0.0,-5.26,4.33
2020-03-31T17:00:00,18,Calabria,132,17,149,457,606,4,12,17,36,659,9327,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,2.0,1.0,3.0,5.0,314.0,0.0,3.0,11.41,24.59,3.82,0.0,-5.56,0.66
2020-04-01T17:00:00,18,Calabria,144,16,160,450,610,4,10,21,38,669,9983,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,12.0,11.0,4.0,2.0,656.0,0.0,-7.0,10.0,26.23,1.52,0.0,-5.88,0.66
2020-04-02T17:00:00,18,Calabria,163,19,182,445,627,17,22,23,41,691,10679,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,19.0,22.0,2.0,3.0,696.0,0.0,-5.0,10.44,29.03,3.16,0.0,18.75,2.79
2020-04-03T17:00:00,18,Calabria,183,17,200,462,662,35,42,26,45,733,11608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,20.0,18.0,3.0,4.0,929.0,0.0,17.0,8.5,30.21,4.52,0.0,-10.53,5.58
2020-04-04T17:00:00,18,Calabria,178,15,193,469,662,0,8,30,49,741,12314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,-5.0,-7.0,4.0,4.0,706.0,0.0,7.0,7.77,29.15,1.13,0.0,-11.76,0.0
2020-04-05T17:00:00,18,Calabria,174,13,187,519,706,44,54,33,56,795,13077,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,-4.0,-6.0,3.0,7.0,763.0,0.0,50.0,6.95,26.49,7.08,0.0,-13.33,6.65
2020-04-06T17:00:00,18,Calabria,170,14,184,538,722,16,22,37,58,817,13633,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,-4.0,-3.0,4.0,2.0,556.0,0.0,19.0,7.61,25.48,3.96,0.0,7.69,2.27
2020-04-07T17:00:00,18,Calabria,169,14,183,550,733,11,16,40,60,833,14072,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-1.0,-1.0,3.0,2.0,439.0,0.0,12.0,7.65,24.97,3.64,0.0,0.0,1.52
2020-04-08T17:00:00,18,Calabria,170,15,185,570,755,22,26,44,60,859,14977,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,2.0,4.0,0.0,905.0,0.0,20.0,8.11,24.5,2.87,0.0,7.14,3.0
2020-04-09T17:00:00,18,Calabria,168,15,183,582,765,10,15,48,61,874,15698,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2.0,-2.0,4.0,1.0,721.0,0.0,12.0,8.2,23.92,2.08,0.0,0.0,1.32
2020-04-10T17:00:00,18,Calabria,168,14,182,604,786,21,27,50,65,901,16637,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0.0,-1.0,2.0,4.0,939.0,0.0,22.0,7.69,23.16,2.88,0.0,-6.67,2.75
2020-04-11T17:00:00,18,Calabria,169,15,184,608,792,6,14,57,66,915,17493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,2.0,7.0,1.0,856.0,0.0,4.0,8.15,23.23,1.64,0.0,7.14,0.76
2020-04-12T17:00:00,18,Calabria,165,14,179,616,795,3,8,62,66,923,18211,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-4.0,-5.0,5.0,0.0,718.0,0.0,8.0,7.82,22.52,1.11,0.0,-6.67,0.38
2020-04-13T17:00:00,18,Calabria,160,12,172,619,791,-4,5,70,67,928,18596,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,-5.0,-7.0,8.0,1.0,385.0,0.0,3.0,6.98,21.74,1.3,0.0,-14.29,-0.5
2020-04-14T17:00:00,18,Calabria,161,12,173,643,816,25,28,72,68,956,19014,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,2.0,1.0,418.0,0.0,24.0,6.94,21.2,6.7,0.0,0.0,3.16
2020-04-15T17:00:00,18,Calabria,156,11,167,652,819,3,15,81,71,971,19662,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-5.0,-6.0,9.0,3.0,648.0,0.0,9.0,6.59,20.39,2.31,0.0,-8.33,0.37
2020-04-16T17:00:00,18,Calabria,157,9,166,681,847,28,38,90,72,1009,20642,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,1.0,-1.0,9.0,1.0,980.0,0.0,29.0,5.42,19.6,3.88,0.0,-18.18,3.42
2020-04-17T17:00:00,18,Calabria,154,7,161,658,819,-28,-18,99,73,991,21657,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,-3.0,-5.0,9.0,1.0,1015.0,0.0,-23.0,4.35,19.66,-1.77,0.0,-22.22,-3.31
2020-04-18T17:00:00,18,Calabria,152,7,159,673,832,13,20,106,73,1011,22794,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2.0,-2.0,7.0,0.0,1137.0,0.0,15.0,4.4,19.11,1.76,0.0,0.0,1.59
2020-04-19T17:00:00,18,Calabria,142,6,148,696,844,12,24,116,75,1035,23760,22234.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-10.0,-11.0,10.0,2.0,966.0,0.0,23.0,4.05,17.54,2.48,0.0,-14.29,1.44
2020-04-20T17:00:00,18,Calabria,140,7,147,681,828,-16,3,135,75,1038,24373,22847.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,-2.0,-1.0,19.0,0.0,613.0,613.0,-15.0,4.76,17.75,0.49,0.49,16.67,-1.9
2020-04-21T17:00:00,18,Calabria,133,7,140,679,819,-9,9,152,76,1047,25440,23914.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-7.0,-7.0,17.0,1.0,1067.0,1067.0,-2.0,5.0,17.09,0.84,0.84,0.0,-1.09
