data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,17,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,17,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,17,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,17,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29T17:00:00,17,Basilicata,0,0,0,0,0,0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,17,Basilicata,0,0,0,0,0,0,0,0,0,0,39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02T18:00:00,17,Basilicata,0,0,0,0,0,0,0,0,0,0,39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,17,Basilicata,0,0,0,1,1,1,1,0,0,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,33.33,0.0,0.0,0.0
2020-03-04T17:00:00,17,Basilicata,0,0,0,1,1,0,0,0,0,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05T17:00:00,17,Basilicata,0,0,0,1,1,0,0,0,0,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06T17:00:00,17,Basilicata,1,0,1,2,3,2,2,0,0,3,63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,33.33,22.22,0.0,0.0,200.0
2020-03-07T18:00:00,17,Basilicata,1,0,1,2,3,0,0,0,0,3,75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0
2020-03-08T18:00:00,17,Basilicata,2,0,2,2,4,1,1,0,0,4,123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,50.0,2.08,0.0,0.0,33.33
2020-03-09T18:00:00,17,Basilicata,2,0,2,3,5,1,1,0,0,5,135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,40.0,8.33,0.0,0.0,25.0
2020-03-10T18:00:00,17,Basilicata,2,0,2,5,7,2,2,0,0,7,148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,28.57,15.38,0.0,0.0,40.0
2020-03-11T17:00:00,17,Basilicata,1,1,2,6,8,1,1,0,0,8,155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,-1.0,0.0,0.0,0.0,7.0,0.0,1.0,50.0,25.0,14.29,0.0,0.0,14.29
2020-03-12T17:00:00,17,Basilicata,1,1,2,6,8,0,0,0,0,8,155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0
2020-03-13T17:00:00,17,Basilicata,1,1,2,8,10,2,2,0,0,10,155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,20.0,0.0,0.0,0.0,25.0
2020-03-14T17:00:00,17,Basilicata,0,2,2,8,10,0,0,0,0,10,155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.0,0.0,100.0,0.0
2020-03-15T17:00:00,17,Basilicata,0,2,2,9,11,1,1,0,0,11,208,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,100.0,18.18,1.89,0.0,0.0,10.0
2020-03-16T17:00:00,17,Basilicata,1,2,3,9,12,1,1,0,0,12,230,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,22.0,0.0,0.0,66.67,25.0,4.55,0.0,0.0,9.09
2020-03-17T17:00:00,17,Basilicata,5,2,7,13,20,8,8,0,0,20,262,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0,4.0,0.0,0.0,32.0,0.0,4.0,28.57,35.0,25.0,0.0,0.0,66.67
