data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,9,Toscana,2,0,2,0,2,2,2,0,0,2,296,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,100.0,1.28,0.0,0.0,0.0
2020-02-26T18:00:00,9,Toscana,2,0,2,0,2,0,0,0,0,2,363,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,9,Toscana,2,0,2,0,2,0,0,0,0,2,410,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,9,Toscana,5,0,5,2,7,5,6,1,0,8,437,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,1.0,0.0,27.0,0.0,2.0,0.0,71.43,22.22,0.0,0.0,250.0
2020-02-29T17:00:00,9,Toscana,7,0,7,3,10,3,3,1,0,11,531,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,2.0,0.0,0.0,94.0,0.0,1.0,0.0,70.0,3.19,0.0,0.0,42.86
2020-03-01T17:00:00,9,Toscana,7,0,7,5,12,2,2,1,0,13,572,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,58.33,4.88,0.0,0.0,20.0
2020-03-02T18:00:00,9,Toscana,7,0,7,5,12,0,0,1,0,13,613,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,58.33,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,9,Toscana,10,0,10,8,18,6,6,1,0,19,697,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,84.0,0.0,3.0,0.0,55.56,7.14,0.0,0.0,50.0
2020-03-04T17:00:00,9,Toscana,15,2,17,20,37,19,19,1,0,38,776,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,5.0,7.0,0.0,0.0,79.0,0.0,12.0,11.76,45.95,24.05,0.0,0.0,105.56
2020-03-05T17:00:00,9,Toscana,26,3,29,31,60,23,23,1,0,61,776,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,11.0,10.34,48.33,0.0,0.0,50.0,62.16
